Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,name_length,address_length
162,73,171,121.027535,14.565443,920,1100,1,0,3,4.8,314,16,71
162,73,593,121.014101,14.553708,1111,1200,1,0,3,4.5,591,16,67
162,75,308,121.056831,14.581404,1671,4000,1,0,4,4.4,270,22,56
162,75,862,121.056475,14.585318,1126,1500,0,0,4,4.9,365,4,70
162,75,862,121.057508,14.58445,1122,1500,1,0,4,4.8,229,11,64
162,75,862,121.056314,14.583764,497,1000,0,0,3,4.4,336,12,71
162,94,863,120.9796667,14.53133333,134,2000,1,0,4,4.0,520,10,83
162,94,863,120.9793333,14.54,1681,2000,1,0,4,4.2,677,7,81
162,94,1001,120.98009,14.55299,796,6000,1,0,4,4.9,621,40,69
162,95,516,121.056532,14.572041,892,1100,1,0,3,4.8,532,8,67
162,95,516,121.057916,14.567689,894,800,0,0,3,4.9,1070,16,44
162,95,516,121.06082,14.570849,66,900,1,0,3,4.2,488,31,44
162,107,1111,121.075419,14.649503,894,800,0,0,3,4.8,294,16,68
162,112,10,121.0335917,14.59345,892,1000,1,0,3,4.2,458,10,68
162,112,592,121.03811,14.59889,1161,700,0,0,3,4.3,223,23,53
162,114,726,121.05704,14.237082,338,800,0,0,3,3.6,29,13,77
162,114,1003,121.0565874,14.23767897,1098,850,0,0,3,4.0,72,24,65
162,122,1039,120.951589,14.101834,892,1200,1,0,3,4.5,211,10,32
162,123,84,121.045878,14.55436,452,600,0,0,2,4.5,118,26,103
162,123,132,121.04622,14.549337,345,1500,1,0,4,4.4,392,23,97
162,123,861,121.053725,14.545858,1670,3000,1,0,4,4.7,535,14,92
162,123,861,121.0534998,14.54565535,9,1800,1,0,4,4.5,618,29,87
30,21,67,-47.88178889,-15.76414167,852,55,0,0,2,3.0,6,11,49
30,21,67,-47.88266667,-15.7775,331,30,0,0,1,3.8,9,19,48
30,21,67,-47.88213611,-15.75747222,177,45,0,0,2,3.7,11,24,51
30,21,67,-47.88816667,-15.75883333,257,60,0,0,3,3.8,11,5,47
30,21,68,-47.91566667,-15.83116667,1618,50,0,0,2,3.2,11,14,45
30,21,68,-47.91566667,-15.831,1111,80,0,0,3,3.1,10,10,45
30,21,68,-47.9075,-15.82,109,90,0,0,3,3.7,8,7,46
30,21,68,-47.91016667,-15.82733333,1111,200,0,0,4,3.7,5,8,45
30,21,68,-47.89016667,-15.797,260,30,0,0,1,0.0,2,14,67
30,21,68,-47.92366667,-15.83133333,1031,150,0,0,4,4.1,12,12,44
30,21,1205,-48.019,-15.83716667,1618,100,0,0,4,3.1,9,8,45
30,21,1205,-48.01909167,-15.839775,218,60,0,0,3,3.6,9,11,59
30,21,1205,-48.01666667,-15.83483333,1219,100,0,0,4,4.3,29,8,72
30,21,138,-47.889,-15.7865,1022,230,0,0,4,4.2,17,10,65
30,21,560,-47.872359,-15.860621,1617,100,0,0,4,3.6,5,6,64
30,21,769,-47.95628333,-15.83451389,64,150,0,0,4,4.0,10,18,61
30,21,800,-47.87283333,-15.82566667,1667,240,0,0,4,3.2,6,7,54
30,21,970,-47.8685,-15.819,1022,230,0,0,4,4.9,30,10,73
30,21,984,-47.885812,-15.720118,1031,350,0,0,4,3.3,8,4,68
30,21,1022,-47.92102778,-15.79753056,29,50,0,0,2,3.6,9,26,47
30,111,101,-43.377,-23.0115,1673,140,0,0,4,4.0,7,21,88
30,111,170,-43.178826,-22.905293,768,100,0,0,4,4.8,29,19,47
30,111,219,-43.18669167,-22.97207222,1141,60,0,0,3,4.7,24,4,45
30,111,219,-43.17583333,-22.96216667,231,90,0,0,3,4.5,29,9,55
30,111,219,-43.176,-22.96516667,1170,170,0,0,4,4.2,11,4,54
30,111,347,-43.191,-22.98683333,294,60,0,0,3,4.8,19,9,69
30,111,390,-43.227042,-22.973507,258,100,0,0,4,4.9,40,18,49
30,111,467,-43.211425,-22.98520833,262,90,0,0,3,4.6,21,10,53
30,111,467,-43.203,-22.98533333,258,120,0,0,4,4.9,49,17,51
30,111,467,-43.20520833,-22.98531944,257,170,0,0,4,4.6,21,22,48
30,111,561,-43.219563,-22.966647,257,90,0,0,3,4.3,14,13,66
30,111,581,-43.34879167,-22.99991111,1031,150,0,0,4,4.0,5,16,90
30,111,582,-43.227,-22.98416667,1111,250,0,0,4,4.6,25,12,46
30,111,582,-43.22566667,-22.98516667,215,120,0,0,4,4.4,13,14,67
30,111,585,-43.17279167,-22.963925,257,40,0,0,2,4.2,7,10,46
30,111,585,-43.17126389,-22.96337222,266,250,0,0,4,4.2,8,7,46
30,111,624,-43.341164,-22.870413,218,70,0,0,3,0.0,1,21,97
30,111,881,-43.18736944,-22.92481389,257,300,0,0,4,4.7,44,10,48
30,111,1095,-43.21551111,-22.91370833,258,85,0,0,3,4.6,24,17,51
30,111,1124,-43.16266667,-22.94783333,258,80,0,0,3,4.3,10,17,45
30,121,112,-46.64516667,-23.55066667,1098,250,0,0,4,4.5,49,24,49
30,121,112,-46.64633333,-23.559,1745,250,0,0,4,4.4,17,30,55
30,121,217,-46.65866667,-23.55616667,995,70,0,0,3,3.1,5,11,49
30,121,217,-46.657523,-23.55671,257,100,0,0,4,4.1,15,9,50
30,121,441,-46.666851,-23.581688,236,300,0,0,4,4.8,59,19,82
30,121,468,-46.67511,-23.582135,917,120,0,0,4,4.6,30,15,48
30,121,468,-46.683888,-23.585324,261,75,0,0,3,3.9,5,18,42
30,121,468,-46.67566667,-23.581,257,55,0,0,2,0.0,0,16,54
30,121,484,-46.666041,-23.561568,916,200,0,0,4,3.4,73,17,69
30,121,484,-46.657418,-23.571638,1782,120,0,0,4,3.5,9,10,48
30,121,484,-46.66983333,-23.5655,174,300,0,0,4,4.3,39,19,75
30,121,674,-46.67133333,-23.59233333,1780,230,0,0,4,3.9,12,9,65
30,121,792,-46.68133333,-23.56483333,935,120,0,0,4,4.3,68,5,45
30,121,847,-46.64159444,-23.54664167,263,150,0,0,4,4.3,46,7,57
30,121,847,-46.643425,-23.545163,1031,400,0,0,4,4.4,37,16,77
30,121,986,-46.63716667,-23.5995,264,65,0,0,3,0.0,2,13,92
30,121,987,-46.698574,-23.622925,257,50,0,0,2,0.0,2,11,91
30,121,1152,-46.581672,-23.486535,265,100,0,0,4,4.4,22,15,76
30,121,1153,-46.63566667,-23.58516667,259,70,0,0,3,4.6,58,6,52
30,121,1154,-46.746958,-23.609207,1171,120,0,0,4,4.1,11,24,59
216,3,39,-84.221535,31.610387,171,25,0,0,2,3.3,35,27,34
216,3,39,-84.207095,31.608743,11,10,0,0,1,3.3,25,19,32
216,3,39,-84.154,31.5772,1818,0,0,0,1,3.4,34,13,34
216,3,39,-84.2194,31.6158,1212,0,0,0,1,3.4,45,29,32
216,3,39,-84.206944,31.622412,618,10,0,0,1,3.4,26,30,37
216,3,39,-84.1759,31.5882,1818,0,0,0,1,3.4,36,30,36
216,3,39,-84.2193,31.616,828,10,0,0,1,3.5,67,11,32
216,3,39,-84.2091458,31.6155186,129,10,0,0,1,3.9,141,29,38
216,3,39,-84.205718,31.604905,1620,25,0,0,2,3.7,147,12,34
216,3,39,-84.223278,31.612121,1748,70,0,0,4,3.5,51,27,38
216,3,39,-84.2191,31.6156,581,25,0,0,2,3.6,88,14,32
216,3,39,-84.212,31.6104,497,10,0,0,1,3.8,153,28,38
216,3,39,-84.1534,31.5751,1818,10,0,0,1,3.9,160,17,34
216,3,39,-84.2228,31.6077,35,25,0,0,2,3.5,57,17,37
216,3,39,-84.2229,31.6185,102,25,0,0,2,3.5,58,19,32
216,3,39,-84.2164,31.6137,1125,40,0,0,3,3.6,115,26,32
216,3,39,-84.2233,31.6118,1125,40,0,0,3,3.5,51,27,37
216,3,39,-84.205025,31.605882,1694,40,0,0,3,3.8,250,35,44
216,3,39,-84.1757,31.5985,1098,10,0,0,1,3.7,117,13,37
216,3,1034,-83.8389,31.5308,24,10,0,0,1,3.4,20,15,38
14,7,65,151.6688792,-30.5147169,222,20,0,0,2,3.5,25,15,27
216,8,77,-83.378273,33.957999,101,40,0,0,3,4.5,1821,17,34
216,8,77,-83.3654,33.9535,1738,10,0,0,1,4.5,849,21,20
216,8,77,-83.4293,33.9652,1212,10,0,0,1,4.6,917,9,34
216,8,77,-83.3389,33.9259,1122,10,0,0,1,3.9,439,18,47
216,8,77,-83.375523,33.958198,270,10,0,0,1,3.7,289,9,33
216,8,77,-83.384004,33.959392,282,10,0,0,1,4.3,558,19,33
216,8,77,-83.3797,33.9584,35,10,0,0,1,4.2,613,7,37
216,8,77,-83.373596,33.958112,78,25,0,0,2,4.0,353,33,32
216,8,77,-83.33995,33.924275,78,25,0,0,2,4.1,387,34,40
216,8,77,-83.3872482,33.9415545,6,40,0,0,3,4.3,755,10,41
216,8,77,-83.381625,33.960112,1028,10,0,0,1,4.2,800,4,32
216,8,77,-83.400887,33.963296,1662,10,0,0,1,4.1,350,10,33
216,8,77,-83.4075,33.9584,1031,40,0,0,3,4.1,464,24,32
216,8,77,-83.379251,33.957503,140,25,0,0,2,4.2,550,9,34
216,8,77,-83.383605,33.960571,1230,10,0,0,1,4.1,543,16,32
216,8,77,-83.37967,33.959468,1027,40,0,0,3,4.1,465,12,37
216,8,77,-83.38728,33.937502,217,10,0,0,1,4.4,546,17,37
216,8,77,-83.3764,33.9584,1104,10,0,0,1,4.4,1098,17,34
216,8,77,-83.378881,33.958363,300,25,0,0,2,4.2,579,12,31
216,8,77,-83.3828224,33.9600227,779,10,0,0,1,4.1,374,23,32
216,10,81,-82.0865,33.4721,585,40,0,0,3,4.6,717,33,41
216,10,81,-82.0698,33.4791,37,40,0,0,3,4.9,548,18,38
216,10,81,-81.97,33.4765,1029,25,0,0,2,4.5,631,15,34
216,10,81,-81.9684,33.474,787,10,0,0,1,3.9,372,16,28
216,10,81,-81.973006,33.477444,29,25,0,0,2,3.9,201,15,32
216,10,81,-81.965571,33.481779,277,40,0,0,3,3.8,332,19,41
216,10,81,-82.0327,33.4086,168,25,0,0,2,3.5,304,18,36
216,10,81,-81.974944,33.478231,6,40,0,0,3,4.3,368,18,36
216,10,81,-82.096,33.4827,778,25,0,0,2,4.1,430,39,34
216,10,81,-81.9721,33.4778,1104,25,0,0,2,4.4,433,15,32
216,10,81,-81.9694,33.4764,1212,10,0,0,1,4.0,380,20,31
216,10,81,-82.0505,33.5133,220,25,0,0,2,4.0,456,22,37
216,10,81,-82.0301,33.4848,1228,40,0,0,3,4.2,647,9,35
216,10,81,-82.080788,33.467201,1743,40,0,0,3,4.0,360,14,31
216,10,81,-82.0805493,33.5375868,995,25,0,0,2,4.0,227,16,37
216,10,318,-82.143793,33.544342,924,25,0,0,2,3.9,290,13,37
216,10,318,-82.126161,33.532249,1819,10,0,0,1,4.1,270,7,34
216,10,318,-82.141284,33.521291,326,25,0,0,2,4.0,326,22,37
216,10,318,-82.1328,33.5406,1795,35,0,0,3,4.3,317,12,37
216,10,385,-82.1997,33.4574,1212,10,0,0,1,4.2,300,28,40
14,12,93,115.9844924,-33.7845269,1270,20,0,0,2,3.2,21,17,34
14,15,111,146.685852,-36.360439,1619,20,0,0,2,4.6,237,19,55
216,20,129,-116.2019,43.6138,18,25,0,0,2,4.5,879,8,31
216,20,129,-116.203466,43.616068,1098,25,0,0,2,4.6,615,29,37
216,20,129,-116.2023,43.6149,282,25,0,0,2,4.5,879,24,35
216,20,129,-116.2064,43.6157,98,70,0,0,4,3.9,379,20,31
216,20,129,-116.2031,43.614,826,10,0,0,1,4.3,303,31,35
216,20,129,-116.185034,43.597235,1169,70,0,0,4,4.1,538,19,32
216,20,129,-116.2062,43.5945,35,10,0,0,1,4.2,334,9,32
216,20,129,-116.2022,43.6167,18,25,0,0,2,4.3,555,21,29
216,20,129,-116.193409,43.610279,29,10,0,0,1,4.4,823,17,35
216,20,129,-116.2625,43.6192,1618,25,0,0,2,4.1,550,19,36
216,20,129,-116.202845,43.616295,29,25,0,0,2,4.4,650,4,29
216,20,129,-116.199,43.615,1618,10,0,0,1,4.3,410,37,29
216,20,129,-116.2463,43.6191,1212,10,0,0,1,4.4,660,10,36
216,20,129,-116.245165,43.6051379,1108,25,0,0,2,4.4,360,27,32
216,20,129,-116.2021,43.6162,1786,40,0,0,3,4.0,340,19,31
216,20,129,-116.2031,43.6156,1129,25,0,0,2,4.1,393,22,29
216,20,129,-116.281809,43.619274,268,10,0,0,1,4.3,422,15,36
216,20,129,-116.280614,43.591706,257,40,0,0,3,4.0,435,7,41
216,20,664,-116.347304,43.619108,16,25,0,0,2,4.0,369,15,49
216,20,698,-116.5629,43.5777,6,40,0,0,3,4.4,487,8,34
216,23,164,-91.6336,42.0179,82,40,0,0,3,3.7,98,9,39
216,23,164,-91.6327,42.0281,1098,40,0,0,3,4.1,365,28,41
216,23,164,-91.7148,41.9748,1212,10,0,0,1,4.1,190,16,43
216,23,164,-91.6224,42.0249,22,40,0,0,3,4.1,429,27,39
216,23,164,-91.6347,42.01,12,25,0,0,2,4.4,430,14,39
216,23,164,-91.6499622,42.0215347,995,25,0,0,2,4.2,186,14,45
216,23,164,-91.7266,41.9639,587,10,0,0,1,4.2,220,20,40
216,23,164,-91.6394,42.0468,497,10,0,0,1,4.2,347,18,40
216,23,220,-91.569767,41.670466,78,25,0,0,2,3.8,161,8,36
216,23,220,-91.5687,41.6685,995,25,0,0,2,4.1,160,12,33
216,23,466,-91.534424,41.660982,294,10,0,0,1,4.9,820,23,36
216,23,466,-91.531414,41.663849,22,10,0,0,1,4.5,488,26,34
216,23,466,-91.531093,41.663751,274,25,0,0,2,3.6,253,14,36
216,23,466,-91.534302,41.658691,68,40,0,0,3,3.8,220,5,40
216,23,466,-91.5314,41.6648,1618,25,0,0,2,4.3,485,21,41
216,23,466,-91.5341,41.661,1022,40,0,0,3,4.3,428,17,33
216,23,466,-91.482165,41.667742,21,25,0,0,2,4.1,294,10,42
216,23,466,-91.5318,41.6625,1210,40,0,0,3,4.0,380,7,34
